ANO-DOUTORADO,NUMERO-IDENTIFICADOR,CONSELHO-COMISSAO-E-CONSULTORIA,DIRECAO-E-ADMINISTRACAO,ENSINO,ESTAGIO,EXTENSAO-UNIVERSITARIA,PARTICIPACAO-EM-PROJETO,PESQUISA-E-DESENVOLVIMENTO,SERVICO-TECNICO-ESPECIALIZADO,TREINAMENTO-MINISTRADO,OUTRA-ATIVIDADE-TECNICO-CIENTIFICA,ARTIGO-FATOR-IMPACTO-0,ARTIGO-FATOR-IMPACTO-1-0,ARTIGO-FATOR-IMPACTO-1-2,ARTIGO-FATOR-IMPACTO-1-5,ARTIGO-ACEITO-PARA-PUBLICACAO,CAPITULO-DE-LIVRO-PUBLICADO,LIVRO-PUBLICADO-OU-ORGANIZADO,PARTITURA-MUSICAL,PREFACIO-POSFACIO,TEXTO-EM-JORNAL-OU-REVISTA,TRABALHO-EM-EVENTOS,TRADUCAO,OUTRA-PRODUCAO-BIBLIOGRAFICA,APRESENTACAO-DE-TRABALHO,CARTA-MAPA-OU-SIMILAR,CURSO-DE-CURTA-DURACAO-MINISTRADO,DESENHO-INDUSTRIAL,DESENVOLVIMENTO-DE-MATERIAL-DIDATICO-OU-INSTRUCIONAL,EDITORACAO,MANUTENCAO-DE-OBRA-ARTISTICA,MARCA,MAQUETE,MIDIA-SOCIAL-WEBSITE-BLOG,ORGANIZACAO-DE-EVENTO,PATENTE,PROCESSOS-OU-TECNICAS,PRODUTO-TECNOLOGICO,PROGRAMA-DE-RADIO-OU-TV,RELATORIO-DE-PESQUISA,SOFTWARE,TOPOGRAFIA-DE-CIRCUITO-INTEGRADO,TRABALHO-TECNICO,OUTRA-PRODUCAO-TECNICA,APRESENTACAO-EM-RADIO-OU-TV,APRESENTACAO-DE-OBRA-ARTISTICA,ARRANJO-MUSICAL,ARTES-CENICAS,ARTES-VISUAIS,COMPOSICAO-MUSICAL,CURSO-DE-CURTA-DURACAO,OBRA-DE-ARTES-VISUAIS,SONOPLASTIA,MUSICA,OUTRA-PRODUCAO-ARTISTICA-CULTURAL,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO,OUTRAS-ORIENTACOES-CONCLUIDAS,DEMAIS-TRABALHOS,FORMACAO-COMPLEMENTAR-DE-EXTENSAO-UNIVERSITARIA,FORMACAO-COMPLEMENTAR-CURSO-DE-CURTA-DURACAO,MBA,OUTROS,PARTICIPACAO-EM-BANCA-DE-GRADUACAO,PARTICIPACAO-EM-BANCA-DE-MESTRADO,PARTICIPACAO-EM-BANCA-DE-DOUTORADO,PARTICIPACAO-EM-BANCA-DE-APERFEICOAMENTO-ESPECIALIZACAO,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO,OUTRAS-PARTICIPACOES-EM-BANCA,BANCA-JULGADORA-PARA-AVALIACAO-CURSOS,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO,BANCA-JULGADORA-PARA-LIVRE-DOCENCIA,BANCA-JULGADORA-PARA-PROFESSOR-TITULAR,OUTRAS-BANCAS-JULGADORAS,PARTICIPACAO-EM-CONGRESSO,PARTICIPACAO-EM-ENCONTRO,PARTICIPACAO-EM-EXPOSICAO,PARTICIPACAO-EM-FEIRA,PARTICIPACAO-EM-OFICINA,PARTICIPACAO-EM-OLIMPIADA,PARTICIPACAO-EM-SEMINARIO,PARTICIPACAO-EM-SIMPOSIO,OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS,ORIENTACAO-EM-ANDAMENTO-DE-GRADUACAO,ORIENTACAO-EM-ANDAMENTO-DE-APERFEICOAMENTO-ESPECIALIZACAO,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO,ORIENTACAO-EM-ANDAMENTO-DE-POS-DOUTORADO,ORIENTACAO-EM-ANDAMENTO-DE-INICIACAO-CIENTIFICA,OUTRAS-ORIENTACOES-EM-ANDAMENTO,CLASSE
2015,5262545895128956,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,12,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,6,2,0,0,0,0,0,0,0,1
2009,8421491550244320,0,0,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
