INDEX,JOURNAL,ISSN,2013/2014,2012,2011,2010,2009,2008
2484,Diabetes,00121797,8.474,7.895,8.286,8.889,8.505,8.398
2485,Diabetic Medicine,07423071,3.064,3.241,2.902,3.036,2.871,3.172
2486,Diabetology & Metabolic Syndrome,17585996,2.5,1.924,1.526,0,0,0
2487,Diabetologie und Stoffwechsel,18619002,0.314,0.427,0.359,0.342,0.38,0
2488,Diabetologe,18609716,0.062,0.25,0.253,0.237,0,0
2489,Diabetologia,0012186X,6.88,6.487,6.814,6.973,6.551,6.418
2490,Diagnostic Cytopathology,87551039,1.52,1.487,1.16,1.295,1.298,1.124
2491,Diagnostic and Interventional Radiology,13053825,1.427,1.031,1.1,0.712,0.771,0
2492,Diagnostic Microbiology And Infectious Disease,07328893,2.568,2.26,2.528,2.426,2.451,2.139
2493,Diagnostic Molecular Pathology,10529551,2.275,1.861,2.257,2.129,1.579,1.77
2494,Diagnostic Pathology,17461596,2.411,1.85,1.638,1.388,1.299,0
2495,Dialysis & Transplantation,00902934,0.193,0.274,0.131,0.132,0.184,0.297
2496,Diamond And Related Materials,09259635,1.572,1.709,1.913,1.825,1.822,2.092
2497,Diatom Research,0269249X,1,0.75,0.656,1.03,0.985,0.607
2498,Differential Equations,00122661,0.416,0.42,0.419,0.369,0.339,0.437
2499,Differential Geometry And Its Applications,09262245,0.585,0.484,0.646,0.521,0.669,0.533
2500,Differential and Integral Equations,08934983,0.542,0.733,0.584,0,0,0
2501,Differentiation,03014681,2.836,2.855,2.807,3.069,3.311,3.18
2502,Digest Journal of Nanomaterials and Biostructures,18423582,1.123,1.092,1.2,2.079,1.75,0
2503,Digestive Diseases And Sciences,01632116,2.55,2.26,2.117,2.06,1.838,1.583
2504,Digestive Diseases,02572753,1.832,2.725,2.373,1,1.487,1.092
2505,Digestive Endoscopy,09155635,1.989,1.61,1.194,0.946,0.333,0
2506,Digestive And Liver Disease,15908658,2.889,3.162,3.054,2.805,2.972,2.577
2507,Digestive Surgery,02534886,1.742,1.472,1.224,1.266,1.372,1.257
2508,Digestion,00122823,2.032,1.94,2.046,2.146,1.77,1.836
2509,Digital Investigation,17422876,0.986,0.63,0.507,0.818,0.7,0.961
2510,Digital Signal Processing,10512004,1.495,1.918,1.435,1.22,1.317,1.486
2511,Diseases Of Aquatic Organisms,01775103,1.586,1.734,2.201,1.572,1.687,1.586
2512,Diseases Of The Colon & Rectum,00123706,3.198,3.336,3.132,2.819,2.536,2.615
2513,Diseases Of The Esophagus,11208694,2.057,1.642,1.814,1.536,1.493,1.404
2514,Disease Management & Health Outcomes,11738790,0,0,0,0.348,0.358,0.539
2515,Dis Manage,1093507X,0,0,0,1.389,1.13,0
2516,Disease Markers,02780240,2.174,2.14,1.642,1.723,2.026,2.303
2517,Disease Models & Mechanisms,17548403,5.537,4.959,4.937,4.584,3.304,0
2518,Disability and Health Journal,19366574,1.5,1.446,0.982,0,0,0
2519,Disability And Rehabilitation,09638288,1.837,1.541,1.498,1.489,1.555,1.395
2520,Disaster Advances,0974262X,0,2.272,0.692,0.407,0.138,0
2521,Disaster Medicine and Public Health Preparedness,19357893,1.142,1.141,1.535,1.747,0,0
2522,Discovery Medicine,15396509,3.503,2.965,0,0,0,0
2523,Discrete Applied Mathematics,0166218X,0.677,0.718,0.795,0.822,0.816,0.783
2524,Discrete & Computational Geometry,01795376,0.606,0.649,0.938,0.824,0.935,0.754
2525,Discrete And Continuous Dynamical Systems,10780947,0.923,1.005,0.913,0.986,1.205,0.889
2526,Discrete And Continuous Dynamical Systems-Series B,15313492,0.628,0.88,0.921,0.874,0.803,0.699
2527,Discrete Dynamics In Nature And Society,10260226,0.882,0.82,0.688,0.967,1.577,1.028
2528,Discrete Event Dynamic Systems-Theory And Applications,09246703,0.667,0.711,0.641,0.872,0.921,0.974
2529,Discrete Mathematics And Theoretical Computer Science,14627264,0.609,0.598,0.465,0,0,0
2530,Discrete Mathematics,0012365X,0.566,0.578,0.519,0.536,0.548,0.502
2531,Discrete Optimization,15725286,0.629,0.667,0.5,0.776,0.729,0.517
2532,Displays,01419382,1.205,1.101,0.846,1.21,0.812,1.768
2533,Dissertationes Mathematicae,00123862,0.571,0.167,0.214,0.056,0.235,0
2534,Dissolution Technologies,1521298X,0.712,0.612,0.69,0.649,0.625,0
2535,Distributed Computing,01782770,0.4,0.627,0.976,1.585,1.508,1.246
2536,Distributed And Parallel Databases,09268782,1,0.806,0.286,0.71,0.857,0.875
2537,Diversity And Distributions,13669516,5.469,6.122,4.83,4.248,4.224,3.446
2538,Diving and Hyperbaric Medicine,18333516,0.607,0.66,0.686,0.356,0.491,0
2539,Dm Disease-A-Month,00115029,0.535,0.704,1.5,1.6,1.571,2.161
2540,Dna And Cell Biology,10445498,1.991,2.344,2.072,2.159,2.28,1.988
2541,Dna Repair,15687864,3.362,4.274,4.135,4.293,4.199,5.095
2542,Dna Research,13402838,4.975,4.425,5.164,4.754,4.917,3.612
2543,Dna Sequence,10425179,0,0,0,0.408,0.752,0.606
2544,Documenta Mathematica,14310643,0.656,0.706,0.733,0.62,0.81,1.171
2545,Documenta Ophthalmologica,00124486,1.108,1.542,2.107,2.187,1.837,1.1
2546,Doklady Biochemistry and Biophysics,16076729,0.368,0.322,0.326,0.331,0.265,0
2547,Doklady Chemistry,00125008,0.351,0.392,0.315,0.257,0.205,0.231
2548,Doklady Earth Sciences,1028334X,0.495,0.392,0.385,0.318,0.25,0.268
2549,Doklady Mathematics,10645624,0.307,0.376,0.289,0.204,0.162,0.222
2550,Doklady Physical Chemistry,00125016,0.475,0.487,0.458,0.23,0.305,0.565
2551,Doklady Physics,10283358,0.473,0.341,0.343,0.347,0.195,0.289
2552,Domestic Animal Endocrinology,07397240,1.783,2.377,2.056,1.896,1.651,2.165
2553,Dose-Response,15593258,1.234,1.5,1.915,2.895,0,0
2554,Douleur Analg,1011288X,0,0.092,0.047,0.071,0.085,0
2555,Dr Dobbs Journal,1044789X,0,0,0,0.115,0.077,0.024
2556,Drewno,16443985,0.171,0.2,0.026,0.073,0,0
2557,Drugs & Aging,1170229X,2.503,2.646,2.671,2.656,2.209,2.11
2558,Drug And Alcohol Dependence,03768716,3.278,3.141,3.383,3.365,3.599,3.371
2559,Drug And Chemical Toxicology,01480545,1.098,1.293,1.082,0.957,1.25,1.409
2560,Drug Delivery,10717544,2.202,2.015,1.456,1.246,1.413,1.55
2561,Drug Design Development and Therapy,11778881,3.026,3.486,2.877,0,0,0
2562,Drug Development And Industrial Pharmacy,03639045,2.006,1.539,1.494,1.396,0.96,1.104
2563,Drug Development Research,02724391,0.734,0.869,1.193,1.109,0.67,1.375
2564,Drug Discovery Today,13596446,5.964,6.551,6.828,6.422,6.63,6.618
2565,Drugs Of The Future,03778282,0.253,0.399,0.517,0.324,0.5,0.468
2566,Drug Information Journal,00928615,0.49,0.401,0.36,0.433,0.579,0.504
2567,Drug Metabolism And Disposition,00909556,3.334,3.361,3.733,3.716,3.743,3.835
2568,Drug Metabolism and Pharmacokinetics,13474367,2.863,2.071,2.321,2.558,2.544,2.641
2569,Drug Metabolism Reviews,03602532,6.286,5.538,6.4,6.263,5.439,5.622
2570,Drug News & Perspectives,02140934,0,3.132,2.208,2.598,2.101,1.989
2571,Drug Resistance Updates,13687646,8.816,9.114,9.559,12.312,12.581,7.206
2572,Drug Safety,01145916,2.62,3.408,3.634,3.599,3.522,3.537
2573,Drug Testing and Analysis,19427603,2.816,3.167,2.537,0,0,0
2574,Drugs Of Today,16993993,1,1.215,1.277,1.038,1.588,1.206
2575,Drugs R&D,11745886,0,0,0,1.707,1.354,1
2576,Drugs,00126667,4.133,4.633,4.226,3.738,4.732,4.128
2577,Drvna Industrija,00126772,0.444,0.196,0.271,0.146,0,0
2578,Drying Technology,07373937,1.77,1.814,2.084,1.662,1.048,1.393
2579,Deutsches Arzteblatt International,18660452,3.608,3.542,2.92,2.108,0,0
2580,Duke Mathematical Journal,00127094,1.724,1.701,1.537,1.411,1.758,1.494
2581,Dyes And Pigments,01437208,3.468,3.532,3.126,2.635,2.855,2.507
2582,Dynamic Games and Applications,21530785,1.041,0,0,0,0,0
2583,Dyna,00127361,0.2,0.237,0.171,0.137,0.062,0
2584,Dyna-Colombia,00127353,0.217,0.175,0.201,0.093,0.054,0
2585,Dynamics Of Atmospheres And Oceans,03770265,1.581,1.734,1.565,2.674,1.788,1.97
2586,Dynamics of Partial Differential Equations,1548159X,1.229,0.765,0.781,1.097,1.032,0.714
2587,Dynamic Systems And Applications,10562176,0.375,0.395,0.319,0.398,0,0.513
2588,Dynamical Systems-An International Journal,14689367,0.381,0.717,0.623,0.727,0.653,0.458
2589,Dynamis,02119536,0.132,0.125,0.143,0.032,0.207,0.32
2590,Dysphagia,0179051X,1.602,1.938,1.389,1.355,1.577,1.741
2591,East Asian Journal on Applied Mathematics,20797362,0.545,0,0,0,0,0
2592,E-Journal of Chemistry,09734945,0.622,0.484,0.516,0.716,0,0
2593,E-Polymers,16187229,0.33,0.4,0.515,0.574,0.644,0.661
2594,Ear And Hearing,01960202,2.833,3.262,2.578,2.257,2.091,2.182
2595,Early Human Development,03783782,1.931,2.02,2.046,1.587,2.122,2.12
2596,Early Intervention in Psychiatry,17517885,1.744,1.653,0.92,1.169,1.25,0
2597,Early Science and Medicine,13837427,0.289,0.25,0,0,0,0
2598,Earth and Environmental Science Transactions of the Royal Society of Edinburgh,17556910,0.962,1.097,0.571,1.222,0.829,0
2599,Earth Interactions,10873562,1.404,1.709,1.794,1,1.444,1.911
2600,Earth Moon And Planets,01679295,0.438,0.83,0.667,0.616,0.655,1.033
2601,Earth And Planetary Science Letters,0012821X,4.724,4.349,4.18,4.279,4.062,3.955
2602,Earth Planets And Space,13438832,3.056,2.921,0.795,1.112,1.074,0.794
2603,Earth Sciences History,0736623X,0.217,0.28,0.167,0.083,0,0
2604,Earth Science Informatics,18650473,0.694,0.404,0.6,0.657,0,0
2605,Earth Sciences Research Journal,17946190,0.333,0.129,0.094,0.179,0.08,0
2606,Earth-Science Reviews,00128252,7.135,7.339,6.594,5.833,6.942,6.558
2607,Earth Surface Processes And Landforms,01979337,2.695,2.49,2.432,2.111,2.055,1.716
2608,Earth System Dynamics,21904979,2.771,0,0,0,0,0
2609,Earthquake Engineering and Engineering Vibration,16713664,0.475,0.604,0.57,0.88,0.614,0
2610,Earthquake Engineering & Structural Dynamics,00988847,1.951,1.898,1.778,1.403,1.433,1.24
2611,Earthquake Spectra,87552930,1,1.079,0.894,3.744,2.866,1.089
2612,Earthquakes and Structures,20927614,1.138,1.381,0,0,0,0
2613,Eating and Weight Disorders-Studies on Anorexia Bulimia and Obesity,11244909,0.68,0.527,0.628,1.016,0.831,0
2614,Echocardiography-A Journal Of Cardiovascular Ultrasound And Allied Techniques,07422822,1.254,1.261,1.239,1.415,1.444,1.429
2615,Eclogae Geologicae Helvetiae,00129402,0,0,0,0,0,0.622
2616,Eco mont-Journal on Protected Mountain Areas Research,2073106X,0.278,0.306,0,0,0,0
2617,Ecography,09067590,4.207,5.124,4.188,4.417,4.385,4.099
2618,Ecohealth,16129202,2.267,2.196,1.702,1.64,2.089,2.315
2619,Ecohydrology,19360584,2.634,2.775,2.133,1.835,1.719,0
2620,Ecological Applications,10510761,4.126,3.815,5.102,4.276,3.672,3.628
2621,Ecological Chemistry and Engineering S-Chemia I Inzynieria Ekologiczna S,18986196,0.558,0.382,0.423,0.294,0.615,0
2622,Ecological Complexity,1476945X,2,2.34,1.926,1.886,2.04,1.455
2623,Ecological Economics,09218009,2.517,2.855,2.713,2.754,2.422,1.912
2624,Ecological Engineering,09258574,3.041,2.958,3.106,2.203,2.745,1.836
2625,Ecological Entomology,03076946,1.967,1.954,1.995,1.852,1.697,1.91
2626,Ecology and Evolution,20457758,1.658,1.184,0,0,0,0
2627,Ecology Of Food And Nutrition,03670244,0.78,0.8,0.765,0.577,0.184,0.311
2628,Ecology Of Freshwater Fish,09066691,1.59,1.935,1.573,1.432,1.512,1.813
2629,Ecological Indicators,1470160X,3.23,2.89,2.695,2.967,3.102,1.984
2630,Ecological Informatics,15749541,1.98,1.961,1.432,1.351,1.299,1.075
2631,Ecology Letters,1461023X,13.042,17.949,17.557,15.253,10.318,9.392
2632,Ecological Modelling,03043800,2.326,2.069,2.326,1.769,1.871,2.176
2633,Ecological Monographs,00129615,7.107,8.085,7.433,5.938,4.862,5.238
2634,Ecological Research,09123814,1.513,1.552,1.565,1.279,1.485,1.206
2635,Ecology And Society,17083087,2.669,2.831,2.516,3.31,1.735,2.855
2636,Ecology,00129658,5,5.175,4.849,5.073,4.411,4.874
2637,Economic Botany,00130001,0.772,1.925,1.604,1.26,0.889,1.018
2638,Economic Computation and Economic Cybernetics Studies and Research,0424267X,0.42,0.274,0.303,0.247,0,0
2639,Economic Geology,03610128,2.27,2.493,2.588,2.021,1.208,1.265
2640,Economics & Human Biology,1570677X,2.461,1.797,2.722,2.438,2.016,1.725
2641,Econometrics Journal,13684221,1.128,1,0.87,0.595,0.733,0.75
2642,Econometric Reviews,07474938,0.679,0.811,0.78,1.088,1.745,1.22
2643,Econometric Theory,02664666,1.154,1.477,0.855,1.015,0,0
2644,Econometrica,00129682,3.504,3.823,2.976,3.185,4,3.865
2645,Ecoscience,11956860,1.013,1.354,1.277,1.589,1.117,1.467
2646,Ecosphere,21508925,2.595,0,0,0,0,0
2647,Ecosystems,14329840,3.531,3.165,3.495,3.679,3.586,3.376
2648,Ecotoxicology And Environmental Safety,01476513,2.482,2.203,2.294,2.34,2.133,2.59
2649,Ecotoxicology,09639292,2.5,2.773,2.355,3.051,3.507,2.355
2650,Ecotropica,09493026,0,0.242,0.15,0,0,0
2651,ECS Electrochemistry Letters,21628726,1.54,0,0,0,0,0
2652,ECS Journal of Solid State Science and Technology,21628769,0.917,0,0,0,0,0
2653,ECS Solid State Letters,21628742,0.781,0,0,0,0,0
2654,Edn,00127515,0.035,0.168,0.183,0.228,0.145,0.165
2655,Educational And Psychological Measurement,00131644,1.167,1.07,1.158,0.831,0.633,0.872
2656,Ee-Evaluation Engineering,01490370,0,0,0,0,0.024,0.012
2657,Egyptian Journal of Biological Pest Control,11101768,0.408,0.044,0.159,0.052,0.047,0
2658,Ejc Supplements,13596349,0,0,0,9.386,0,3.406
2659,EJHP Practice,17819989,0.123,0.11,0.154,0,0,0
2660,Ejso,07487983,2.892,2.614,2.499,2.772,2.564,2.491
2661,Eklem Hastaliklari ve Cerrahisi-Joint Diseases and Related Surgery,13058282,0.634,0.656,0.708,0.404,0.25,0
2662,Ekoloji,13001361,0.708,0.845,0.869,0.775,0.23,0
2663,Eksploatacja i Niezawodnosc-Maintenance and Reliability,15072711,0.505,0.293,0.333,0.319,0,0
2664,Electronics and Communications in Japan,19429533,0.187,0.178,0.078,0.05,0.056,0
2665,Electrical Engineering In Japan,04247760,0.118,0.104,0.085,0.131,0.071,0.102
2666,Electrical Engineering,09487921,0.347,0.303,0.397,0.309,0.333,0.378
2667,Electric Power Components And Systems,15325008,0.664,0.62,0.681,0.474,0.349,0.376
2668,Electric Power Systems Research,03787796,1.595,1.694,1.478,1.396,1.259,0.952
2669,Electroanalytical Chemistry,00709778,0,5,4.5,0,0,0
2670,Electroanalysis,10400397,2.502,2.817,2.872,2.721,2.63,2.901
2671,Electrocatalysis,18682529,2.089,1.455,0,0,0,0
2672,Electrochemistry Communications,13882481,4.287,4.425,4.859,4.282,4.243,4.194
2673,Electrochemical And Solid State Letters,10990062,2.149,2.01,1.995,1.967,1.837,2.001
2674,Electrochemistry,13443542,0.975,0.934,0.954,0.771,0.865,0.835
2675,Electrochimica Acta,00134686,4.086,3.777,3.832,3.642,3.325,3.078
2676,Electromagnetic Biology And Med,15368378,0.769,0.814,1.148,1.041,0.729,0.692
2677,Electromagnetics,02726343,0.765,0.729,0.789,0.844,0.612,0.792
2678,Electronics And Communications In Japan Part I-Communications,87566621,0,0,0,0,0.188,0.074
2679,Electronics And Communications In Japan Part Ii-Electronics,8756663X,0,0,0,0,0.18,0.115
2680,Electronics And Communications In Japan Part Iii-Fundamental Electronic Science,10420967,0,0,0,0,0.141,0.067
2681,Electronic Commerce Research and Applications,15674223,1.304,1.48,1.472,1.946,1.042,1.13
2682,Electronic Communications In Probability,1083589X,0.627,0.492,0.527,0.559,0.557,0.392
2683,Electronic Journal Of Biotechnology,07173458,0.647,0.827,0.968,0.865,0.928,0.92
2684,Electronic Journal Of Combinatorics,10778926,0.568,0.532,0.638,0.626,0.605,0.586
2685,Electronic Journal of Differential Equations,10726691,0.419,0.426,0.427,0,0,0
2686,Electronic Journal of Linear Algebra,15379582,0.514,0.667,0.563,0,0,0
2687,Electronic Journal Of Probability,10836489,0.774,0.785,0.713,0.946,0.893,1.131
2688,Electronic Journal of Qualitative Theory of Differential Equations,14173875,0.638,0.74,0.557,0.387,0.471,0
2689,Electronic Journal of Statistics,19357524,1.024,0.794,1.154,1.025,0,0
2690,Electronics Letters,00135194,1.068,1.038,0.965,1.001,0.97,1.14
2691,Electronic Materials Letters,17388090,3.977,1.87,1.819,1.594,1.292,0
2692,Electronic Research Announcements in Mathematical Sciences,19359179,0.625,0.852,0.524,0.722,1.036,0.469
2693,Electronic Transactions On Numerical Analysis,10689613,0.894,1.261,0.8,0.579,0.567,0
2694,Electronics World,13654675,0.02,0.013,0.013,0.047,0.026,0.005
2695,Electrophoresis,01730835,3.161,3.261,3.303,3.569,3.077,3.509
2696,Elektronika Ir Elektrotechnika,13921215,0.445,0.411,0.913,0.659,0.439,0
2697,Elelmiszervizsgalati,04229576,0,0,0,0.04,0,0
2698,Elements,18115209,4.5,3.156,2.423,3.105,3.597,3.069
2699,eLife,2050084X,8.519,0,0,0,0,0
2700,Embo Journal,02614189,10.748,9.822,9.205,10.124,8.993,8.295
2701,EMBO Molecular Medicine,17574676,8.245,7.795,10.333,8.833,,0
2702,Embo Reports,1469221X,7.858,7.189,7.355,7.822,6.907,7.099
2703,Emerging Infectious Diseases,10806040,7.327,5.993,6.169,6.859,6.794,6.449
2704,Emergency Medicine Australasia,17426731,1.22,0.993,0.979,1.089,0.901,0
2705,Emergency Medicine Clinics Of North America,07338627,0.851,0.825,0.86,1.294,0.964,0.946
2706,Emergency Medicine Journal,14720205,1.776,1.645,1.439,1.269,1.477,1.347
2707,Emergencias,11376821,2.583,2.578,2.486,3.085,0,0
2708,EMJ-Engineering Management Journal,10429247,0.333,0.365,0,0.316,0.25,0
2709,Empirical Software Engineering,13823256,1.64,1.18,1.854,1.776,1.612,1.091
2710,Emu,01584197,1.524,1.895,1.121,1.191,0.803,0.861
2711,Encephale-Revue De Psychiatrie Clinique Biologique Et Therapeutique,00137006,0.598,0.493,0.628,0.421,0.347,0.203
2712,Endeavour,01609327,0.261,0.173,0.226,0.245,0.167,0.154
2713,Endocrine Journal,09188959,2.019,2.228,2.027,1.952,1.806,1.6
2714,Endocrine Pathology,10463976,1.644,1.6,1.358,1.568,1.417,1.558
2715,Endocrine Practice,1530891X,2.588,0,2.486,0,0,0
2716,Endocrine-Related Cancer,13510088,4.907,5.261,4.364,4.432,4.282,5.236
2717,Endocrine Research,07435800,1.409,1.026,0.969,1.043,0.765,0.75
2718,Endocrine Reviews,0163769X,19.358,14.873,19.929,22.469,19.761,18.562
2719,Endocrinology And Metabolism Clinics Of North America,08898529,2.857,3.792,3.411,4.33,3.562,2.121
2720,Endocrine,1355008X,3.527,2.25,1.416,0,0,0
2721,Endocrinologist,10512144,0,0.116,0.092,0.124,0.102,0.141
2722,Endocrinology,00137227,4.644,4.717,4.459,4.993,4.752,4.945
2723,Endokrynologia Polska,0423104X,1.208,1.07,1.239,0,0,0
2724,Endoscopy,0013726X,5.196,5.735,5.21,6.096,5.545,6.091
2725,Endoskopie Heute,0933811X,0.164,0.133,0.143,0.06,0,0
2726,Endothelium-Journal Of Endothelial Cell Research,10623329,0,0,0,1.909,1.649,1.929
2727,Energy And Buildings,03787788,2.465,2.679,2.386,2.041,1.593,1.59
2728,Energy Conversion And Management,01968904,3.59,2.775,2.216,2.054,1.944,1.813
2729,Energy Efficiency,1570646X,0.961,1.15,1.085,0,0,0
2730,Energy & Environmental Science,17545692,15.49,11.653,9.61,9.446,0,0
2731,Energy Exploration & Exploitation,01445987,0.953,0,0,1.712,0.491,0.271
2732,Energy & Fuels,08870624,2.733,2.853,2.721,2.444,2.319,2.056
2733,Energy Journal,01956574,1.864,2.434,2.198,1.391,1.857,1.726
2734,Energy Policy,03014215,2.696,2.743,2.723,2.614,2.436,1.755
2735,Energy Sources Part A-Recovery Utilization And Environmental Effects,15567036,0.358,0.516,0.715,0.843,1.094,0.868
2736,Energy Sources Part B-Economics Planning And Policy,15567249,0.84,0.788,0.709,0,0,0
2737,Energies,19961073,1.602,1.844,1.865,1.13,0,0
2738,Energy Education Science and Technology,13018361,0,0,31.677,9.333,0,0
2739,Energy for Sustainable Development,09730826,2.36,2.221,1.625,0,0,0
2740,Energy,03605442,4.159,3.651,3.487,3.565,2.952,1.712
2741,Enferm Emerg,15754723,0,0,0.172,0.256,0,0
2742,Enfermedades Infecciosas Y Microbiologia Clinica,0213005X,1.881,1.478,1.491,1.656,1.393,1.432
2743,Engenharia Agricola,01006916,0.41,0.673,0,0,0,0
2744,Engineering Analysis With Boundary Elements,09557997,1.437,1.596,1.451,1.359,1.531,1.096
2745,Engineering Applications Of Artificial Intelligence,09521976,1.962,1.625,1.665,1.344,1.444,1.397
2746,Engineering Applications of Computational Fluid Mechanics,19942060,0.921,1.144,0.882,0.36,0,0
2747,Engineering With Computers,01770667,1.088,0.6,0.739,0.625,0.704,1.155
2748,Engineering Computations,02644401,1.206,1.214,1.06,0.871,0.651,0.488
2749,Engineering Economist,0013791X,0.647,0.371,0.382,0,0,0
2750,Engineering Failure Analysis,13506307,1.13,0.855,1.086,0.765,0.945,0.441
2751,Engineering Fracture Mechanics,00137944,1.662,1.413,1.353,1.571,1.447,1.713
2752,Engineering Geology,00137952,1.757,1.403,1.242,1.442,1.212,1.197
2753,Engineering Intelligent Systems For Electrical Engineering And Communications,14728915,0,0,0,0,0.205,0
2754,Engineering Journal-American Institute Of Steel Construction Inc,00138029,1.371,0.227,0.349,0.238,0.184,0.412
2755,Engineering In Life Sciences,16180240,1.89,1.633,1.925,1.504,1.24,1.2
2756,E&Mj-Engineering And Mining Journal,00958948,0,0,0.032,0.024,0.019,0.009
2757,Engineering Optimization,0305215X,1.23,0.962,0.936,0.902,0.966,0.9
2758,Engenharia Sanitaria e Ambiental,14134152,0.177,0.152,0.25,0.259,0,0
2759,Engineering Structures,01410296,1.767,1.713,1.351,1.363,1.256,1.102
2760,Engineering Studies,19378629,0.545,0.381,1.048,0,0,0
2761,Enriching Communications,19607652,0,0,0,0,0.241,0.059
2762,Ent-Ear Nose & Throat Journal,01455613,0.881,1.03,0.659,0.595,0.424,0
2763,Enterprise Information Systems,17517575,0,9.256,3.684,0.786,2.809,0
2764,Entomologica Americana,19475136,0.459,0.857,0.519,0.133,0,0
2765,Entomologia Experimentalis Et Applicata,00138703,1.711,1.669,1.535,1.404,1.568,1.281
2766,Entomologica Fennica,07858760,0.441,0.41,0.333,0.321,0.377,0.41
2767,Entomologia Generalis,01718177,0.286,0.214,0.294,0.167,0.618,0.369
2768,Entomological News,0013872X,0.442,0,0.143,0.309,0.347,0.32
2769,Entomological Research,17382297,0.33,0,0,0,0,0
2770,Entomological Science,13438786,1.116,0.981,0.673,0.686,0.663,0.522
2771,Entropy,10994300,1.564,1.347,1.183,1.109,0,0
2772,Environmental Microbiology Reports,17582229,3.264,2.708,3.232,3.076,0,0
2773,Environmental Biology Of Fishes,03781909,1.356,1.305,0.914,0.792,1.155,1.133
2774,Environmental Chemistry Letters,16103653,1.906,1.623,1.881,2.051,2.109,1.366
2775,Environmental Chemistry,14482517,3.035,2.652,2.57,1.818,1.85,2.317
2776,Environmental Conservation,03768929,2.32,2.341,1.927,2,1.541,1.875
2777,Environmental Earth Sciences,18666280,1.572,1.445,1.059,0.678,,0
2778,Environmental And Ecological Statistics,13528505,0.972,0.868,1.31,1.645,1.18,1.052
2779,Environmental & Engineering Geoscience,10787275,0.596,0.63,0.34,0.273,0.372,0.36
2780,Environmental Engineering and Management Journal,15829596,1.258,1.117,1.004,1.435,0.885,0
2781,Environmental Engineering Science,10928758,0.933,1.154,0.877,0.893,1.111,1.039
2782,Environmental Entomology,0046225X,1.424,1.314,1.561,1.534,1.154,1.214
2783,Environmental And Experimental Botany,00988472,3.003,2.578,2.985,2.699,3.164,2.301
2784,Environmental Fluid Mechanics,15677419,1.164,1.899,1.667,1.605,1,1
2785,Environmental Forensics,15275922,0.732,0.652,0.768,0.681,0.529,1.077
2786,Environmental Geochemistry And Health,02694042,2.573,2.076,1.62,1.66,1.622,1.238
2787,Environmental Geology,09430105,0,0,1.127,1.07,1.078,1.026
2788,Environmental Health,1476069X,2.713,2.714,2.649,2.45,2.481,0
2789,Environmental Health Perspectives,00916765,7.029,7.26,7.036,6.087,6.191,6.123
2790,Environment International,01604120,5.664,6.248,5.297,4.691,4.786,3.516
2791,Environmental Management,0364152X,1.648,1.647,1.744,1.503,1.408,1.109
2792,Environmental Microbiology,14622912,6.24,5.756,5.843,5.537,4.909,4.707
2793,Environmental Modeling & Assessment,14202026,1.074,0.977,0.971,0.916,1.056,0.754
2794,Environmental Modelling & Software,13648152,4.538,3.476,3.114,2.871,3.085,2.659
2795,Environmental And Molecular Mutagenesis,08936692,2.553,3.708,3.709,3.493,2.868,2.181
2796,Environmental Monitoring And Assessment,01676369,1.679,1.592,1.4,1.436,1.356,1.035
2797,Environmental Pollution,02697491,3.902,3.73,3.746,3.395,3.426,3.135
2798,Environmental Progress & Sustainable Energy,19447442,1.271,0.865,1.649,0.86,,0
2799,Environmental Progress,02784491,0,0,0,1.308,0.921,1.054
2800,Environment Protection Engineering,03248828,0.439,0.423,0.52,0.427,0.276,0
2801,Environmental Research Letters,17489326,4.09,3.582,3.631,3.049,3.342,1.719
2802,Environmental Research,00139351,3.951,3.238,3.398,3.5,3.237,3.038
2803,Environmental Reviews,12086053,2.359,1.652,1.703,0,0,0
2804,Environ Risque Sante,16350421,0,0.176,0.271,0.538,0.688,0
2805,Environmental Science & Policy,14629011,3.514,2.978,3.024,2.213,2.322,1.975
2806,Environmental Science And Pollution Research,09441344,2.757,2.618,2.651,2.87,2.411,2.492
2807,Environmental Science-Processes & Impacts,20507887,0,0,0,0,0,0
2808,Environmental Science & Technology,0013936X,5.481,5.257,5.228,4.825,4.63,4.458
2809,Environmental Technology,09593330,1.197,1.606,1.406,1.007,0.762,0.674
2810,Environmental Toxicology And Chemistry,07307268,2.826,2.618,2.809,3.026,2.565,2.42
2811,Environmental Toxicology And Pharmacology,13826689,1.862,2.005,1.469,1.378,1.293,1.051
2812,Environmental Toxicology,15204081,2.562,2.708,2.407,1.932,1.831,1.899
2813,Environment,00139157,1.353,1.375,1.738,1.864,1.918,1.444
2814,Environmetrics,11804009,1.486,1.096,1.06,0.75,1,0.719
2815,Enzyme And Microbial Technology,01410229,2.966,2.592,2.367,2.287,2.638,2.375
2816,Epe Journal,09398368,0.306,0.128,0.339,0.188,0.357,0.435
2817,Epidemics,17554365,2.378,2.261,2.151,0,0,0
2818,Epidemiology And Infection,09502688,2.491,2.867,2.843,2.257,2.365,2.36
2819,Epidemiologie Mikrobiologie Imunologie,12107913,0.361,0.306,0,0,0,0
2820,Epidemiologia & Prevenzione,11209763,1.456,0.919,0.651,0.636,0.705,0
2821,Epidemiology and Psychiatric Sciences,20457960,3.362,2.938,0,0,0,0
2822,Epidemiologic Reviews,0193936X,7.333,9.269,7.583,8.238,17.5,12.13
2823,Epidemiology,10443983,6.178,5.738,5.566,5.866,5.511,5.406
